区分,大分類,中分類,小分類
【専門知識】,,,
,Ⅰ．生産システムと生産形態,,
,,１．生産システムと生産管理の基礎,（１）生産システムの構造
,,,（２）管理活動と生産管理
,,２．生産形態の分類,（１）受注の仕方による分類
,,,（２）生産品種と生産量による分類
,,,（３）製品の流し方による分類
,Ⅱ．製品企画と設計管理,,
,,１．製品企画,（１）製品企画の目的
,,,（２）経営戦略と製品企画
,,,（３）原価企画
,,２．設計管理の概要,（１）設計管理の目的
,,,（２）設計管理の流れ
,,,（３）ＱＣＤの管理
,,,（４）価値工学（VE）
,Ⅲ．工程管理における生産計画,,
,,１．生産計画と生産統制,（１）工程管理の目的
,,,（２）工程管理の業務構成
,,,（３）工程管理の管理特性
,,,（４） 生産計画と在庫
,,,（５）生産統制と緩衝機能
,,２．生産計画,（１）生産計画の基本的な立案方法
,,,（２）能力と負荷のバランス
,,,（３）スケジューリングの基礎
,Ⅳ．資材・在庫管理と生産システム,,
,,１．資材・在庫管理,（１）部品展開と部品所要量計算
,,,（２）在庫管理方式の基礎
,,２．生産システムとI E,（１）I E の考え方
,,,（２）I E 手法と設計・改善
,,３．工程編成,（１）工程編成の種類と特徴
,,,（２）ラインバランシングの基礎
【共通知識】,,,
,Ⅰ．品質管理,,
,,１．品質管理の考え方,（１）品質管理の意義
,,,（２）品質と品質特性
,,,（３）管理のサイクルと改善
,,２．データの活用,（１）データの取り方
,,,（２）データの表し方
,,,（３）データの解析
,,３．検査,（１）検査の目的と方法
,,,（２）全数検査と抜取検査
,,,（３）検査と管理
,,４．品質改善の進め方,（１）改善の進め方
,,,（２）データ主義
,,,（３）源流主義
,,５．品質保証,（１）品質保証の意義と進め方
,,,（２）品質保証とクレーム処理
,,,（３）製造物責任（P L）
,,６．品質マネジメントシステム,（１）品質マネジメントシステムの国際化
,,,（２）ＩＳＯ9000シリーズの構成
,,,（３）品質マネジメントシステムの原則
,,,（４）ＩＳＯ9001：2015規格の構成
,,,（５）ＰＤＣＡサイクルと品質マネジメント
,Ⅱ．原価管理,,
,,１．原価管理の基本的な考え方,（１）原価管理の体系
,,,（２）プランニングとコントロール
,,,（３）製品の開発・生産活動と製造原価
,,２．原価の構成,（１）製造原価と総原価
,,,（２）材料費・労務費・経費（発生形態による分類）
,,,（３）直接費・間接費（製品との関連による分類）
,,,（４）固定費・変動費（操業度との関連による分類）
,,,（５）製品開発から生産実施までの原価概念
,,,（６）原価概念の整理
,,３．原価計算,（１）原価計算
,,,（２）実際原価計算
,,,（３）標準原価計算
,,,（４）原価差異分析
,,４．原価企画,（１）原価企画の意義
,,,（２）製品開発・設計工程と原価企画活動のフェーズ
,,,（３）目標原価
,,,（４）原価見積もり
,,５．原価低減,（１）直接材料費の原価低減
,,,（２）直接労務費の原価低減
,,,（３）直接経費の原価低減
,,,（４）間接費の原価低減
,Ⅲ．納期管理,,
,,１．納期管理の考え方,（１）納期管理の意義
,,,（２）顧客と納期遵守
,,２．納期遅延の発生要因と対策,（１）設計部門での要因と対策
,,,（２）生産計画部門での要因と対策
,,,（３）資材部門での要因と対策
,,,（４）製造部門での要因と対策
,,,（５）物流部門での要因と対策
,,３．納期管理の手法,（１）納期遅延・日程遅延の分析
,,,（２）進捗管理の手法
,,４．目で見る管理,（１）生産計画・統制での目で見る管理
,,,（２）資材・在庫・物流での目で見る管理
,Ⅳ．安全衛生管理,,
,,１．安衛法の概要,（１）安衛法の概要１（第１章～第４章）
,,,（２）安衛法の概要２（第５章～第１２章）
,,２．安全衛生管理体制の構築等,（１）管理体制に関する法規制
,,,（２）災害統計等
,,３．物的安全化の基本,（１）特定機械等の製造許可・検査など
,,,（２）安全装置等の具備
,,,（３）定期自主検査
,,４．人的安全化の基本,（１）労働者の就業にあたっての措置
,,,（２）５S活動の推進
,,５．労働衛生管理,（１）労働衛生管理の基本
,,,（２）職業性疾病の予防
,Ⅴ．環境管理,,
,,１．環境問題の歴史的経緯と環境基本法,（１）公害問題の始まり
,,,（２）高度経済成長期の公害問題
,,,（３）公害対策の強化
,,,（４）環境基本法と関連法規制
,,２．公害防止対策,（１）大気汚染とその対策
,,,（２）水質汚濁とその対策
,,,（３）土壌汚染とその対策
,,,（４）騒音・振動とその対策
,,,（５）悪臭とその対策
,,３．工場・事業場における環境保全の取り組み,（１）環境保全の維持と改善
,,,（２）環境改善のしくみと環境マネジメントシステム
,,４．持続可能な開発目標,（１）世界的な環境問題への取り組み
,,,（２）持続可能な開発目標（ＳＤＧｓ）とは
,,,（３）ＳＤＧｓの17のゴール
